average_rating,author_id,text_reviews_count,name,ratings_count
3.96,16839,3544,James Thurber,34511
3.72,7084,5112,Karl Marx,125978
3.94,17015,54650,P.C. Cast,1859975
3.93,17010,49768,Kristin Cast,1765605
4.13,6378,7478,Hans Christian Andersen,258513
4.46,7340907,3687,Sui Ishida,120315
3.95,3486415,27640,Amanda Hocking,388249
3.98,569269,52416,Jay Asher,633597
3.54,141619,110,Lee Lorenz,775
4.36,5340891,469,Kichiku Neko,4039
4.36,5340892,456,TogaQ,3959
4.36,7224524,454,Guilt Pleasure,4004
4.37,38550,135990,Brandon Sanderson,2062308
3.69,33919,18293,Jeff VanderMeer,147402
4.0,8685,22944,Mercedes Lackey,810564
3.75,40983,3955,Elizabeth Hand,30458
3.86,5435058,27,Cody Walker,160
3.94,518734,76,Timothy Callahan,674
3.96,5364295,13,Ean Moody,92
4.05,492992,165,Julian Darius,1076
3.69,380673,68,A. David Lewis,355
3.95,3077559,41,Patrick Meaney,423
3.85,4151460,26,Chad Nevett,239
3.91,4775981,31,Ross Payton,223
3.94,15392,1359,Peter Sanderson,48841
3.99,5364294,14,Caleb Stokes,150
4.08,5364293,29,Kevin Thurman,259
4.05,1244,73268,Mark Twain,4087862
4.01,45429,6916,Jeffrey Brown,69611
3.47,980713,486,Annie Burrows,3268
3.83,4191,27743,Emily Bronte,1046247
4.03,1441,21402,Ted Dekker,360209
4.14,1654,106290,Terry Pratchett,3267646
4.13,13557729,9238,Daniel Abraham,167102
4.37,346732,164622,George R.R. Martin,4277240
4.21,2448,43173,Arthur Conan Doyle,1424024
4.02,13275,18513,Charles Bukowski,444272
3.96,7128,176259,Jodi Picoult,2963318
3.81,880695,24695,H.G. Wells,787462
4.13,53283,875,Scott Kelby,14372
4.22,233619,5926,Marcel Proust,78519
4.41,2901559,1712,Jun Mochizuki,75063
4.33,1411091,9956,Tomo Kimura,581968
4.12,10182,10151,Mike Mignola,248885
3.97,197005,2284,John Arcudi,29437
4.02,4615365,1210,Tyler Crook,11002
4.03,18833,11429,Dave Stewart,213024
4.17,63770,1306,Duncan Fegredo,21113
4.15,17303138,2963,Dave Johnson,66233
4.23,4430,57209,Sherrilyn Kenyon,1272781
3.72,136558,59,Maggie Hyde,569
4.16,6252,40973,Robert Jordan,1809448
3.92,12424,20616,Brian Michael Bendis,354528
3.89,14613,4550,Stuart Immonen,66122
3.55,93103,1005,Brandon Peterson,11393
4.11,390509,3666,John Allison,30618
4.15,14676997,1662,Max Sarin,16286
3.82,296961,17815,Paul Auster,249894
3.88,9226,18555,William Gibson,480152
3.38,19879,4610,Stephen Crane,126921
3.84,25376,4412,Ian McDonald,35085
3.83,8988,18806,Carrie Vaughn,243675
3.96,338705,17040,Catherynne M. Valente,104240
4.07,589,93559,Orson Scott Card,2189973
4.03,2860219,27137,Seanan McGuire,238626
3.87,4338,9606,Robert Silverberg,158450
3.69,3524,27607,Joyce Carol Oates,309732
3.68,4396277,386,John R. Fultz,2494
3.99,24183,1520,Morgan Llywelyn,26761
4.03,27100,19392,Michael Scott,404916
3.9,6001,15216,Carolyn Keene,536508
3.61,4722301,140,Mary Tillworth,1442
3.92,10178,2269,Marv Wolfman,38780
3.94,1425345,4260,George Perez,86868
3.97,3780,222666,James Patterson,4717668
3.82,257412,2317,Matthew Hughes,17776
3.91,52752,633,Rachel Pollack,5924
3.82,97136,4366,Duane Swierczynski,48719
3.69,5052169,266,Nelson Daniel,2599
3.44,8436137,6,Shane Pierce,43
4.43,6567626,793,Kohei Horikoshi,19424
4.47,10785266,338,Ku Yue Geng Ping,14502
4.15,8194109,801,John McBrewster,16731
4.14,2940867,835,Frederic P. Miller,17650
4.15,2940868,800,Agnes F. Vandome,16738
4.07,745566,120,Suzuki Tanaka,2454
3.42,7799,17314,Nathaniel Hawthorne,664311
3.99,68669,1737,James Stevenson,23636
3.74,124999,323,Anya Ulinich,2000
3.87,362888,52,Woodrow Phoenix,387
3.9,1022975,888,Andi Watson,15456
3.59,1223961,65,Jose Luis Munuera,816
4.1,13844539,1968,Dan Jones,14346
3.72,139257,1568,Mary Hooper,14357
3.77,546427,3982,Alaya Dawn Johnson,23284
3.53,169377,26756,Seth Grahame-Smith,252999
4.17,48192,42727,Gena Showalter,762036
3.83,6404,19696,Jonathan Lethem,191424
4.12,74046,7763,D.J. MacHale,267153
3.94,6989,10775,Rudyard Kipling,303560
3.75,15093,507,Howard Mackie,8867
3.94,15091,5166,Chris Claremont,88441
3.8,22914,614,Mike Collins,5102
4.02,15090,6137,Jim Lee,132776
3.74,377359,489,Whilce Portacio,6142
3.93,61317,1588,Lee Weeks,30429
3.86,508272,68,Bill Jaaska,837
3.76,2579982,459,Jason Gorder,5776
4.18,38491,2430,Christopher Yost,89090
3.91,5777,2115,Paco Medina,29668
3.59,2933191,656,James Asmus,6185
4.27,61319,1164,Pasqual Ferry,59844
3.68,668817,1260,Clay Mann,11385
3.86,61970,1364,Neal Adams,19891
3.85,467693,4056,Christos Gage,52396
3.93,997432,1860,David Marquez,18829
3.91,2933192,2384,Sara Pichelli,29150
3.99,61382,14230,Matt Fraction,201841
3.88,12431,3917,Salvador Larroca,51953
3.97,439887,13954,Kieron Gillen,152358
3.76,2620998,1358,Daniel Acuna,18100
3.84,61326,1636,Ron Garney,25142
3.95,329305,1460,Dale Eaglesham,37582
3.64,7337,2323,Carlos Pacheco,31612
3.87,52980,7321,Rick Remender,79304
3.81,8043728,382,David Williams,2714
3.91,9932,5154,Phil Noto,59504
4.02,268214,1322,Jerome Opena,18685
3.82,28126,3772,Fabian Nicieza,62252
3.82,14461,4569,Scott Lobdell,64022
3.59,145378,349,Todd Dezago,4303
3.7,79750,422,Roger Cruz,4818
3.94,20013,846,Jan Duursema,14674
4.11,61367,3198,Steve Epting,62769
3.84,6542722,3367,Terry Dodson,43735
3.79,1226213,3393,Tony S. Daniel,61321
3.89,356424,7801,Jonathan Hickman,100156
4.04,205810,2827,Nick Dragotta,34817
4.05,3856312,1545,Gabriel Hernandez Walta,14661
3.34,5099401,511,Andre Lima Araujo,4048
3.88,12443,3968,Mark Bagley,76940
4.09,172977,5764,Malorie Blackman,92121
3.96,1356336,4099,L.A. Banks,88455
4.05,1000834,4617,NOT A BOOK,50974
3.85,555317,29,Dave Louapre,150
3.83,3183539,14,Dan Sweetman,104
4.07,29305,240,Robert Mankoff,2108
4.17,29303,1496,David Remnick,17351
3.9,14078,5827,David Brin,165924
4.29,2063919,14687,Michael J. Sullivan,218988
4.04,106,33594,Madeleine L'Engle,1031251
3.93,764251,12,Glenn Danzig,189
3.58,4699102,11428,Unknown,349893
3.99,2891665,34005,Gail Carriger,305976
4.12,221559,49076,Jeff Kinney,927858
4.15,3064305,34680,Hugh Howey,469243
3.86,2817499,250,Emile Bravo,1710
4.0,167071,82,Paul Newman,525
3.96,13931,296,Alice Alfonsi,5430
3.98,17735,1167,Ryder Windham,14103
3.97,38840,2049,Algernon Blackwood,23465
3.84,26930,3948,J. Sheridan Le Fanu,53125
3.86,28525,4975,Washington Irving,150361
4.18,325581,561,Jimmy Liao,4003
4.26,5153555,263,Source Wikipedia,9320
4.14,29535,19717,Octavia E. Butler,199973
4.02,5443693,436,Masami Kurumada,6500
4.15,1380434,220,Shiori Teshirogi,2568
3.98,5481957,26460,Various,285092
4.22,12948,3770,Rumiko Takahashi,234525
3.66,4025591,2081,Saladin Ahmed,12387
4.02,5031312,8093,Dante Alighieri,245444
3.81,59149,428,Scott Morse,4661
4.16,153742,670,Yuna Kagesaki,42873
3.98,2849,58179,David Sedaris,1445895
3.39,5063058,29,Aapo Rapi,183
3.8,12014,5808,Max Allan Collins,64525
3.99,14403,3234,Ambrose Bierce,51100
4.23,25824,4854,Julio Cortazar,92588
4.01,215886,217,Jose Munoz,6980
3.6,49378,4986,Lynne Graham,70960
4.01,2802356,5396,Herge,227167
4.11,1600019,1253,Rebekah Isaacs,14394
4.07,18015,20278,Joss Whedon,398617
4.02,70032,1157,David Wyatt,10902
3.94,11643,3406,John Steven Gurney,93394
3.57,19887,286,Gary Friedrich,2212
3.87,10180,2563,Roy Thomas,41606
3.76,40989,1391,Gerry Conway,12442
3.77,40988,474,Steve Gerber,3974
3.73,251553,469,Rich Buckler,3407
3.59,9871618,62,Tom Sutton,430
3.81,10300,625,Herb Trimpe,6284
3.96,324217,281,Gray Morrow,3219
3.85,2721,1065,Gene Colan,12859
3.87,17613,13640,Lawrence Block,151251
4.19,4,44444,Douglas Adams,2100344
4.16,12076,2916,Russell Hoban,90012
3.87,239579,68221,Charles Dickens,2534985
3.59,426034,9207,Lauren Beukes,67305
3.64,314966,503,Julie Bertagna,5023
4.0,1630,61746,Ray Bradbury,1738835
3.86,7711,2616,David Mamet,55121
3.81,5855,3005,David Rakoff,28828
3.69,28229,6191,Banana Yoshimoto,80090
3.85,2055542,336,John Fawcett,2383
3.85,13549414,341,Graeme Manson,2361
3.72,6851816,1171,Jody Houser,6720
3.7,671509,1133,Szymon Kudranski,13800
3.56,13559001,166,Mat Lopes,1105
3.83,5352002,97,Neil Uyetake,800
3.79,424322,193,Roger Leloup,5825
4.03,9018,10392,Mike Carey,241667
3.61,10312,1260,Scot Eaton,14962
3.76,335949,464,Andrew Hennessy,7519
3.79,317710,323,Jason Keith,3822
3.87,7770422,960,Brian Reber,20127
3.85,5752958,2955,Cory Petit,43083
3.81,6865128,274,Phil Briones,2818
3.87,696805,19523,Jules Verne,581197
4.05,4668732,257,Kazuma Kamachi,10100
3.82,39349,568,Ariel Dorfman,6623
3.9,953550,92,David Merveille,341
3.94,43697,2830,Keith R.A. DeCandido,40630
3.91,5786,1994,David Gerrold,28134
3.6,1419,1233,Michael White,13425
3.97,105776,2325,Ted Naifeh,28614
3.48,2908273,272,Ulises Farinas,1400
3.28,6898397,86,Erick Freitas,407
4.1,14836678,146,Natalie Riess,700
3.9,12432,2791,Leinil Francis Yu,50789
4.03,56059,3337,Alex Maleev,75719
3.81,7405185,230,Donny Cates,1425
4.0,7405187,182,Geoff Shaw,1027
4.01,744618,52,Jason Wordie,317
4.01,154133,70,John Hill,480
3.9,61322,4040,David Finch,77703
3.96,52727,4830,Steve McNiven,72490
3.88,5545301,120,Angel Medina,3428
4.26,569,132524,Khaled Hosseini,3066410
4.02,4865339,1015,Andrew Chambliss,15478
3.99,325522,6025,Georges Jeanty,111484
4.18,5005431,241,Moe Yukimaru,9184
4.18,276660,27256,Joe Abercrombie,472674
4.1,9494,18417,H.P. Lovecraft,383222
4.03,4902260,343,Asumiko Nakamura,3286
3.62,130047,509,Gary Phillips,2839
4.01,381629,353,Moyoco Anno,7276
4.29,5594705,157,Ryuhei Tamura,11901
4.2,77098,1455,Raymond Briggs,25344
3.82,15905,19998,Thomas Hardy,489672
3.57,2970,1135,Ethan Hawke,8446
4.1,324620,60302,Laini Taylor,483687
4.34,1214964,16324,Ta-Nehisi Coates,129709
3.88,52180,1920,Chris Sprouse,35482
3.7,1496865,1939,Dennis Hopeless,15891
4.36,27459,97,Tom Mason,2612
4.29,27460,83,Dan Danko,1671
4.12,268292,122,Shane L. Johnson,2100
4.09,47352,141,Federico Fellini,1211
4.13,1221698,256693,Neil Gaiman,4423484
3.97,23069,10288,Gene Wolfe,167848
3.9,215044,1977,Adam-Troy Castro,23617
3.64,4918514,5396,Charlie Jane Anders,31189
3.79,490342,2593,Steve Rasnic Tem,35335
4.0,6852949,5933,James Tynion IV,66412
4.06,6840806,2647,Jason Fabok,33386
4.09,3565,39089,Oscar Wilde,1261671
3.65,50029,103,Jim McCarthy,925
3.64,50030,30,Flameboy,429
3.81,2718,2465,Howard Chaykin,38147
4.04,134143,2109,Penn Jillette,47243
3.92,3118938,1828,Andrea Offermann,11951
3.87,350702,106,Lou Cameron,833
3.86,947,84149,William Shakespeare,5184553
3.85,6616089,3376,Joshua Williamson,28498
3.96,138791,1235,Mike Henderson,11577
3.65,748258,944,Riley Rossmo,7339
4.37,209672,3909,Charles M. Schulz,67048
2.73,4497017,62,Steve Hoover,80
2.59,16488859,60,Brett Wagner,74
3.86,2837980,95,Yuki Sato,876
3.97,23001,4287,Fritz Leiber,79632
3.43,5285,12671,Aimee Bender,79662
3.84,220,1579,Nick Flynn,15292
3.74,28596,2295,Steve Almond,14873
4.55,2896686,1241,Glyn Dillon,39310
4.01,1299351,56,Francesco Savino,374
3.99,88527,1078,Pat Mills,12416
3.87,232732,135,Gerry Finley-Day,1695
3.79,138170,445,Cam Kennedy,7271
3.81,844471,53,Trevor Goring,337
4.23,33532,6952,Steve Dillon,274291
4.14,11646,2959,Lynda Barry,33602
3.98,18327,12247,Greg Rucka,176439
3.92,89523,1449,Rick Burchett,36248
3.84,258596,291,Terry Beatty,3860
3.73,4821299,201,Gerald Guerlais,977
4.0,15255261,1054,Ross Campbell,9283
3.8,9867377,184,El Rubius,1277
3.94,17061,116708,Charlaine Harris,2955654
3.62,31688,13473,M.T. Anderson,107270
4.08,1036615,37697,Charlotte Bronte,1420215
4.35,243395,1109,Yoshihiro Togashi,72752
3.97,1442948,272,Ayumi Komura (Xiao Cun ayumi),9457
4.32,4999130,1469,Kanata Konami,17131
4.18,8789,414,Eiki Eiki,8685
4.25,1975540,321,Taishi Zaou,7156
4.43,3091065,1401,Julietta Suzuki,66477
4.26,4958172,2319,Gosho Aoyama,90365
4.27,1977,4931,Tite Kubo,407641
4.21,106888,286,Anant Pai,10970
4.06,3215638,233,David James Keaton,901
4.3,1395450,26,Dudley D. Watkins,518
3.87,350112,806,Will Murray,7804
4.01,256988,184,Kanari Yozaburo,4751
4.33,1048316,9,Kuroko Yabuguchi,227
3.96,5592402,58,Kei Sasuga,1180
3.94,36746,55361,Lemony Snicket,1584524
4.22,17054,29783,Kim Harrison,677666
3.63,5782,242,John Whitman,4333
4.17,4593444,369,Richard Thompson,3583
3.81,1343790,3482,Daryl Gregory,21494
3.84,93147,254,Damian Couceiro,2879
4.23,119259,637,Jerry Scott,21176
4.26,119260,257,Rick Kirkman,9370
4.23,8596,27046,Tamora Pierce,1126625
4.04,15083,4768,John Byrne,121987
3.71,370385,28,Andrew Steven Harris,262
3.77,572336,77,James Patrick,883
3.97,189876,1190,Scott Tipton,10947
3.86,684481,962,David Tipton,6740
3.81,305136,1024,David Messina,13443
4.12,3097060,129,Hikaru Nakamura,1500
4.18,5816,19181,Darren Shan,464877
3.98,12732,17170,Grant Morrison,399023
3.72,238665,150,Kevin Colden,1092
3.97,3472,98888,Margaret Atwood,1535280
4.34,27498,24619,Erin Hunter,687291
3.81,27798,796,Chet Williamson,11395
3.94,33031,14824,Ian Rankin,243858
3.59,32979,994,Richard Appignanesi,9392
3.55,32978,147,Chris Garratt,1648
3.57,89341,419,Ziauddin Sardar,3380
3.66,13333,106,Patrick Curry,1182
4.44,5441098,143,Minna Sundberg,863
3.86,8489,2184,Robert Sheckley,33515
3.89,6620,1804,Greg Cox,22266
3.91,6472744,232,Jeff Drake,1611
3.76,24838,294,Brian Hall,1812
3.91,8509856,200,Rachel Hastings,1543
3.97,14121877,92,Anthony Aguinaldo,751
3.98,14259466,47,Marcelo Benavides,417
3.95,349994,91,Tom Connor,714
4.36,323656,1238,Akira Himekawa,21478
4.26,8340743,59,Shin'ichi Sakamoto,1230
4.02,1315,25778,Louisa May Alcott,1533077
3.62,3417343,38,Noah Berlatsky,172
3.87,2986789,690,P.L. Nunn,5526
3.89,15151,10351,Zora Neale Hurston,223299
3.88,5223,24888,Franz Kafka,816710
3.64,7728,9475,Doris Lessing,136208
3.93,1240,17548,Jack London,566304
3.81,881203,13952,Willa Cather,200148
4.18,22694,8644,Flannery O'Connor,133700
4.06,64199,541,Frank O'Connor,7731
4.18,4624490,22901,Edgar Allan Poe,1040721
4.04,128382,39158,Leo Tolstoy,875280
3.81,6878,14619,John Updike,233263
3.9,6980602,4051,Lonely Planet,56167
3.76,1442641,725,O.T. Nelson,5071
4.12,73351,1845,Dan Jolley,53468
3.91,988846,3164,Joelle Jones,27819
3.7,5020207,399,Jenn Manley Lee,2010
3.73,146783,5931,Cecil Castellucci,47954
3.63,3498845,262,Kelly Fitzpatrick,1708
4.05,40998,4595,Becky Cloonan,55017
3.76,4555523,465,Marley Zarcone,3843
3.91,115598,670,Ande Parks,13021
3.6,215907,3422,Benjamin Percy,19297
3.82,1012007,506,Otto Schmidt,3131
3.68,13910956,246,Eleonora Carlini,1894
4.04,33262,8494,Dan Abnett,142306
3.86,7008579,1568,Gabe Eltaeb,18018
3.85,93150,1805,Brad Walker,24756
3.98,86488,1273,Wayne Faucher,25020
3.94,7779,24179,Arthur C. Clarke,846128
3.92,571327,1079,Tim Kreider,7160
3.78,167605,11291,Guillermo del Toro,132738
3.77,202311,10944,Chuck Hogan,131216
3.81,4086694,530,Tan Eng Huat,5331
3.8,37508,2617,Andy Lanning,39622
3.78,65434,682,Timothy Green II,8407
3.87,30953,3453,Donald E. Westlake,37218
3.89,8694,8628,Tanith Lee,143720
3.69,7066,103,Adam Sexton,575
3.12,1250214,193,Tintin Pantoja,854
4.0,869,8566,Margaret Weis,568358
3.8,11654,70068,Meg Cabot,1698409
3.97,24390,3493,Edward Said,64493
4.07,1377,10321,Raymond Chandler,215386
4.02,16364938,52,Ao Jyumonji,646
4.19,2849463,278,Lora Innes,1881
3.8,158635,2105,Simon Rich,13412
4.25,3510823,12117,Walt Disney Company,457629
3.97,355579,1179,Dan Jackson,13011
3.49,4249883,32,Sara Kenney,171
4.48,2568404,2109,John Watkiss,90084
4.28,400678,503,Ryohgo Narita,10060
3.96,171132,4947,Peter J. Tomasi,69237
4.05,4810744,361,Marcelo Frusin,13308
4.19,315660,120,Saki Hiwatari,5001
3.94,3099948,1667,R.W. Alley,13710
4.16,26405,513,Camille Rose Garcia,5789
3.61,1879206,302,Romano Molenaar,4276
3.91,3378913,45,Saki Shiumi,1137
3.96,543719,13209,Jeff Lemire,141613
3.78,4872615,1506,Andrea Sorrentino,13336
3.95,493715,743,Denys Cowan,10042
4.09,2719,2909,Bill Sienkiewicz,55180
3.82,61230,1698,Paul Pope,20306
4.44,431316,1296,Lovern Kindzierski,23067
3.81,306749,1564,Carlos D'Anda,21939
4.01,24978,39251,Maya Banks,681839
4.18,54848,1397,Trina Robbins,19376
3.73,619954,207,Sharon Rudahl,1279
3.63,435618,93,Mary Wilshire,940
3.85,243915,133,Aline Kominsky-Crumb,1040
3.6,33113,575,Melinda Gebbie,6856
4.16,339906,13,Diane Noomin,98
3.59,9000,30,Shary Flenniken,149
3.97,3094778,163,Joyce Farmer,1345
3.86,325219,286,Roberta Gregory,1853
4.29,14065628,86,Norimitsu Kaihou,961
4.27,14065629,81,Sadoru Chiba,881
4.14,706255,134245,Stieg Larsson,3314984
3.9,17739,2810,Michael A. Stackpole,111991
3.47,769401,157,Christophe Bec,1313
4.55,4698899,5307,Hiromu Arakawa,314831
3.95,3500030,232,Kentaro Sato,1752
4.19,202254,5454,Keith Thompson,64276
3.96,588356,8521,Nnedi Okorafor,47100
3.84,238242,297,Esther Pearl Watson,2690
4.36,583452,11,Jason Osipa,121
3.94,16939,7934,Michael Moorcock,206554
3.92,89372,3025,J.G. Jones,50914
3.85,4037220,6612,Miguel de Cervantes Saavedra,187298
3.8,21616,18083,Ann M. Martin,368092
3.91,99332,187,Shotaro Ishinomori,1936
4.04,5293465,458,X. Aratare,4882
4.1,4625176,68,T. Wolv,790
4.06,4624677,170,Raythe Reign,2548
3.93,5124,2771,Gilbert Hernandez,30938
4.15,4766238,2151,Jaime Hernandez,28270
4.22,87184,7942,Laura Joffe Numeroff,406592
3.69,70323,394,Tonino Benacquista,5196
3.72,3371,55955,Dave Eggers,551461
3.86,700238,118,Kouji Seo,5478
3.81,19806,1657,Marc Andreyko,15655
3.57,13509116,481,Blond,2876
3.9,17476,1455,Aaron Lopresti,24789
3.94,20041,2684,Brad Anderson,25576
3.58,7134251,160,Livesay,1000
3.65,322218,137,Rodney Buchemi,1701
3.89,1637418,1740,Gail Z. Martin,34758
3.62,927040,70,Ellis Amdur,519
4.49,108424,57075,Patrick Rothfuss,868789
3.96,5989,21136,Jane Yolen,290324
4.16,45763,6745,Ryan North,64004
4.12,375348,3524,Erica Henderson,26282
3.71,8627,471,Dana Meachen Rau,2182
4.13,1978112,2030,DK Publishing,16085
4.08,454405,193,Jane Sutcliffe,653
4.25,300529,1421,Juanjo Guarnido,20174
3.89,3399330,1673,Alex Irvine,15603
4.11,584164,82,James Wong,1009
4.18,613155,265,Lisa Swerling,1430
4.19,613154,257,Ralph Lazar,1418
4.12,3956,15301,Christopher Hitchens,425844
3.99,59162,196,Fabio Laguna,4399
4.02,3101191,88,Andrea Cagol,1531
3.64,24359,331,Amanda Haley,1625
4.14,28710,4346,Dennis O'Neil,204432
4.12,13853447,1054,Michael Wm. Kaluta,21437
4.21,45230,5781,Tove Jansson,87194
4.06,7338,3962,Kurt Busiek,85820
4.21,57285,5476,Mike Allred,107362
3.82,55807,1733,Sal Buscema,18354
3.81,55800,469,Jim Mooney,4637
3.83,10307,538,Mike Wieringo,9431
3.91,38860,1256,Gil Kane,14611
3.83,10294,685,Pat Olliffe,13390
3.81,10297,1973,Tom DeFalco,26528
3.79,85627,404,Bob McLeod,4282
3.85,22722,1723,Roger Stern,36249
3.82,129914,630,Ron Frenz,7508
4.12,4447332,268,Kotetsuko Yamamoto,5759
3.46,3445,2722,Myla Goldberg,28267
3.65,133495,228,Dee Shulman,1501
3.72,165207,755,James Proimos,3150
4.09,32594,8836,Jeph Loeb,255685
3.88,61853,2162,Ed McGuinness,35998
4.35,64709,1727,Clement C. Moore,95042
3.95,195779,1186,Fumi Yoshinaga,13615
3.91,3231609,88,David Hontiveros,601
3.84,16024,12857,Greg Bear,452665
3.86,61942,890,Edmond Hamilton,8904
3.46,685776,502,Brian Ruckley,6246
3.37,1577562,62,Eric Gordon,296
3.95,9629,17505,Terry Brooks,670391
3.97,5055739,2618,Kyle Higgins,41308
3.94,77186,2501,Will Conrad,46688
3.9,101873,4489,Cliff Richards,66168
3.71,48594,208,Ian Graham,1210
4.04,913590,1908,Leslie Lonsdale-Cooper,87560
4.05,85169,2007,Michael Turner,93908
4.1,17870,1330,William Irwin,38268
4.01,2943202,314,Andrew Zimmerman Jones,3681
3.77,54133,581,Andre Breton,10943
3.88,3190,70172,F. Scott Fitzgerald,3145639
3.99,56952,6210,Roz Chast,56460
4.08,12672,2636,Karen Traviss,68883
4.06,3487702,476,Kanan Minami,30166
3.73,566,102614,Paulo Coelho,2275235
3.9,222580,47,Alan McKenzie,424
3.98,256987,253,Sato Fumiya,6892
3.68,4940391,8,Deborah Shamoon,63
3.99,37557,6985,Richard Kadrey,101590
3.67,30673,1002,Nicholas Briggs,9509
3.73,54989,2443,George Mann,18711
3.73,376555,287,Sophie Aldred,1912
3.95,6649,6513,Stephen Colbert,170316
4.13,15085,13177,Frank Miller,595832
3.71,1951011,2992,Gwenda Bond,15431
4.28,2104168,259,Xaviere Daumarie,5834
4.22,12775,4317,John Cassaday,124103
4.08,290348,820,Steve Morris,10092
3.84,38587,134,Stefano Raffaele,2332
3.95,16948244,400,Kim Smith,1376
3.8,15021,1812,Tom Piccirilli,14479
3.39,181368,1645,Sharon Kendrick,15765
4.08,979378,235,Yaya Sakuragi,6477
4.28,1370283,15868,Brent Weeks,459636
3.97,6988,20578,Bram Stoker,757889
4.34,11353,553,Matthew Reinhart,5763
3.89,14251905,71,Megan Brennan,408
4.06,9802042,6,Ben Bocquelet,34
4.28,14552375,55,Katy Farina,583
3.84,13957,72678,Scott Westerfeld,1247344
4.16,36452,931,Mark Crilley,11636
3.94,126864,61,Dan Piraro,555
3.79,3502,42416,Alice Hoffman,410481
4.42,5821645,169,Park Jin-Hwan,8309
3.9,184741,414,Joseph Jacobs,6693
4.12,8483,3269,Junji Ito,46404
3.57,6923522,280,Kirsten Smith,1488
4.1,16717747,69,Kurt Lustgarten,298
4.24,8409528,114,Naomi Franquiz,483
3.94,3116974,1925,Adam Glass,27799
3.92,7418188,371,Henrik Jonsson,4030
3.89,8996,580,Mort Castle,4398
3.95,18879,3733,Kim Newman,55853
3.91,48397,1913,Nancy A. Collins,37301
4.32,15872,251601,Rick Riordan,6191552
3.91,11258,1476,Stuart M. Kaminsky,19032
4.28,3386747,197,Manabu Kaminaga,3329
4.35,4903145,87,Suzuka Oda,2048
3.62,2963273,160,Yann,2478
3.9,4045096,14,Eric Henninot,164
3.75,361609,63,Stephane Poulin,447
3.37,4882935,18,Shinano Oumi,196
4.26,60631,411,Kazuya Minekura,20767
3.89,70744,2626,Patricia C. McKissack,23673
