work_id,book_id
30468,"[30065, 26177186, 6899284, 16136627, 6891013, 10643405, 18712285, 12686741, 24853643, 16093593, 20736763]"
30474,"[18730818, 20605344, 16281682, 15708966, 17569230, 138398, 16092530, 26941263, 13647718, 609477, 18665555, 1817706, 15749465, 17264204, 16136540, 9780402, 31207149, 1667265, 10246537, 10643422]"
30496,[30094]
30592,[30203]
30593,"[30204, 15756561, 23390766]"
30594,"[30205, 15756582]"
30595,[30206]
30596,"[22737001, 25080303, 15756608]"
30598,[30209]
30615,[30231]
30617,"[30233, 13451155]"
30626,[30249]
30627,[30250]
30628,[30251]
30629,[30252]
30630,[30253]
30631,[30254]
30632,"[6686332, 30255]"
30633,[30256]
30677,[30308]
30683,[30314]
30684,[30315]
30685,[30316]
31102,[30763]
31104,[30765]
31105,[30766]
31107,[30768]
31108,[30761]
31109,[30767]
31110,[30771]
31112,[30773]
31113,[30774]
31114,[30775]
31118,[30779]
31304,[30972]
31305,[30973]
31351,[31019]
31360,[31028]
31362,[31030]
31365,[31033]
31376,[31044]
31379,[31047]
31411,[31080]
31871,[31641]
31875,[31645]
32020,"[20571831, 31804, 15822547]"
32097,"[9965509, 19346152, 31881, 1220052, 19948624, 25267412, 5226774]"
32190,"[31975, 18868080, 22047131, 27264340, 17357662, 17668848, 10358158]"
32193,[31978]
32196,"[31981, 10357876]"
32197,"[7359624, 31982]"
32198,"[31983, 2010426, 7316314]"
32200,"[17164878, 31985, 7316319]"
32201,"[31986, 7455168]"
32203,"[31988, 7365821]"
32204,"[31989, 6150156]"
32205,"[6150178, 31990]"
32206,"[31991, 7324804, 17164891]"
32215,"[9165428, 32000]"
32216,"[9165447, 32001, 22636605]"
32217,"[32002, 9165474]"
32219,[32004]
32385,"[32185, 24956061, 26851029]"
32387,[32187]
32388,[32188]
32469,"[24902149, 32277]"
32484,"[4924112, 32292]"
32490,"[4924111, 32298]"
32493,"[624694, 32301]"
32494,"[30214050, 624692, 32302]"
32498,"[32306, 23573778]"
32513,"[32321, 32323, 35453816, 32803814, 23213152, 34234825]"
32520,[32328]
32521,[32329]
32522,"[32330, 26137769]"
32523,"[32331, 12240260]"
32524,[32332]
32542,[32350]
32544,[32353]
32546,"[32355, 6607302, 15984367, 11422197]"
32739,"[32577, 1575371]"
32809,"[32652, 12489096]"
32883,[32732]
33067,[32950]
33070,[32953]
33348,[33265]
33351,[33268]
33504,[33427]
33545,"[33476, 13499514, 3271058, 17569761]"
33546,"[33477, 25122998, 6139276]"
33549,[33480]
33550,[15095791]
33554,[33485]
33556,[33487]
33557,[33488]
34005,[33985]
34006,[33986]
34095,"[329110, 34086]"
34392,[34417]
34402,"[34426, 34427]"
34515,[34544]
34835,"[34871, 1411550, 30027056]"
34836,"[34872, 476005]"
34985,[35046]
34986,[35047]
34992,[35053]
35184,[35248]
35346,[35411]
35348,"[35413, 21253332]"
35352,[35417]
35360,[35425]
35362,[35427]
35366,[35431]
35370,[35435]
35372,"[35437, 18931783]"
35373,"[8525744, 35438]"
35375,[35440]
35376,[35441]
35378,"[35443, 18995448]"
35379,[35445]
35389,"[7606935, 35455]"
35390,"[6218549, 875517, 35456]"
35394,[35460]
35396,[35462]
35795,[35872]
35818,[35895]
35819,[35896]
35821,[35898]
35822,[35899]
35826,[35903]
36191,[36285]
36208,[36302]
36284,[36379]
36364,[36459]
36368,[36463]
36584,"[14475529, 36679]"
36587,[36682]
36588,[36683]
37151,[37262]
37152,[17561398]
37866,[38075]
38013,[38226]
38102,[38330]
38103,"[38331, 2535455]"
38105,[38334]
38107,[10464731]
38116,[38345]
38145,"[5071310, 38374]"
38965,[39255]
39148,[1063530]
39149,[39441]
39151,[39443]
40050,[40452]
40120,[40533]
40738,[41159]
40764,"[26715110, 41185]"
41144,"[358248, 41600]"
41146,[41602]
41258,"[9218307, 41723]"
41298,[41782]
41396,[41892]
41594,"[11865322, 42100]"
41685,[42192]
41750,[42258]
41751,[42259]
41753,[42261]
42698,"[43265, 7119062]"
42721,[43288]
42865,"[43435, 10829951]"
42975,"[43549, 2706540]"
42978,[43553]
42979,[43555]
42980,[43556]
42982,"[240065, 43558]"
42984,[43560]
42985,[43561]
42986,"[863051, 43562]"
42988,[43564]
42997,[43573]
43001,[43577]
43002,[43578]
43003,"[215160, 17801830, 2183170, 62953, 29622303, 10075537, 11682192, 991027, 1270632, 43579, 3426811]"
43005,[43581]
43007,[43583]
43010,[43586]
43093,[43670]
43134,[43718]
43135,[43719]
43137,"[12417261, 43721]"
43139,"[17211042, 43723]"
43140,[43724]
43142,[43726]
43143,"[16008476, 43727]"
43144,[43728]
43145,"[36169493, 6413741, 43729]"
43146,[43730]
43147,"[43731, 28274428, 821529]"
43148,[43732]
43149,[43733]
43150,[43734]
43151,[43735]
43153,"[1490965, 43737, 28755139, 821542]"
43157,[43741]
43158,[43742]
43160,[43744]
43161,[43745]
43162,[43746]
43163,[43747]
43164,[43748]
43165,[43749]
43168,[43752]
43209,"[11929972, 43808]"
43284,[43905]
43474,"[44101, 18490860]"
44065,"[18996890, 8494968, 44736]"
44067,"[18467845, 44738]"
44068,[44739]
45361,[46225]
45566,[46443]
45567,[46444]
45765,"[46658, 38370]"
45977,"[2269335, 2261606, 46906]"
45979,"[2195845, 46908]"
46096,"[18482281, 47039]"
46118,[47064]
46119,[47065]
46144,[47090]
46145,[47091]
46146,"[11951697, 47092]"
46694,"[47696, 29628083, 9706794, 27272394, 1271463, 7199299, 22807615, 10408938]"
46713,[47719]
46716,"[47725, 23127751, 23127752, 25684677]"
47484,"[436315, 48540]"
47492,[48548]
47521,[48577]
47650,"[16089638, 48706]"
47691,[48748]
47722,"[2948481, 48780]"
47730,[48788]
48481,[49566]
48483,[2828001]
48485,[49570]
48715,[49807]
48724,"[49817, 49816]"
48852,[49963]
49099,"[50253, 38372]"
49101,[50255]
49168,[50323]
49178,[50335]
49275,[50448]
49315,"[50492, 25256385]"
49404,[50587]
49419,[50602]
49463,"[50647, 7745645]"
49853,"[3115272, 51078]"
49854,[51079]
49855,"[1239186, 51080, 1012457, 51083]"
49857,[51082]
50016,[51251]
50319,"[51570, 18869093]"
50665,[51926]
50666,[51927]
50667,[51928]
50818,[52083]
50822,[52087]
51084,"[20176420, 52366, 25509844]"
51086,[52368]
51088,[52370]
51152,[52437]
51153,"[52438, 26119651]"
51154,[52439]
51238,[52531]
51301,[52596]
51302,[52597]
51531,[52839]
51532,[52840]
51533,[52841]
51534,[52842]
51535,"[18960930, 52843]"
51699,"[53014, 1878721]"
51862,"[53178, 13166707]"
51863,[53179]
51866,[53182]
52537,[53886]
52538,[53887]
52540,"[425611, 53889]"
52541,[53890]
52586,[53935]
52587,"[24248863, 53936, 23787694]"
53138,[54507]
53207,"[6671107, 54585]"
53209,"[9411325, 54588]"
53210,"[6671110, 54589]"
53212,[54591]
53213,[54592]
53214,[54593]
53216,"[28104242, 4285439, 54595]"
53218,"[4285441, 25620712, 54597]"
53355,"[54740, 19099942, 1713703]"
53357,[54742]
53358,"[14289390, 7369161, 23486198, 54743]"
53359,"[20639885, 14288111, 7362775, 54744]"
53362,"[23486230, 10117180, 54747]"
53608,[55011]
53695,[55099]
53814,[55218]
54037,[55451]
54789,"[485974, 56221]"
54790,[56222]
54795,[56227]
54796,[56228]
54807,[56239]
54808,[56240]
54814,"[56246, 33652853, 2719369, 25105565]"
54822,[56254]
54823,"[25417399, 27036588]"
54824,"[18387491, 56256]"
54825,"[12504526, 56257]"
54826,[56258]
54831,[56263]
54834,[56266]
54835,"[9966140, 56267]"
54837,"[25113209, 13519435, 18667081, 56269, 9798831, 10491427]"
54838,[56270]
54843,[11301346]
54846,[56278]
55551,[57023]
55997,[57477]
56396,"[772226, 1409180, 57890]"
56397,"[21896628, 57892]"
56398,"[3031704, 57893, 1911386]"
56399,[57894]
56400,"[20622601, 57895]"
56401,[57896]
56402,[57897]
56403,[57898]
56404,[57899]
56405,[57900]
56571,"[6290805, 58094, 19438865, 916408, 1830980, 19095742, 8390490, 13397388, 9652063, 15747362]"
56921,"[58452, 1261373, 11730735, 19492554]"
57386,[58939]
57744,[59323]
57791,[59370]
58102,"[59704, 36074709, 20329289]"
58103,"[19213935, 13027894, 59705, 8515149, 15774477, 1126111, 15798381]"
58107,"[6295085, 59709]"
58109,"[59711, 22835628]"
58344,"[15737149, 59959]"
58345,"[17729868, 59961]"
58346,"[11492974, 17251117, 26013843, 2021622, 24156829, 6428196, 59962, 59992, 17830009, 18666344, 15714936, 147956, 22042439]"
58347,[59963]
58348,"[59964, 9654274]"
58351,"[11284293, 59968]"
58357,[59975]
58358,[59977]
58368,[59988]
58486,[60112]
58487,"[10083380, 6235478, 60113]"
58502,[17402133]
58602,"[6587366, 15998983, 60239, 33114671, 17131960]"
58656,[60293]
58658,"[60295, 5073]"
58660,[60297]
58661,[60298]
58663,[60300]
58664,[60289]
58665,"[1718515, 60284]"
58668,[60296]
58791,[60430]
59242,[60910]
59345,[61017]
59346,[61018]
59392,[61064]
59663,"[61343, 18890980]"
59664,"[61344, 63813]"
59665,"[61345, 9303492]"
59666,[61346]
59667,[61347]
59672,"[143284, 75602, 13645222, 61352, 237849, 11092788, 13577574, 1584438, 7815609, 13018729, 26147958, 1447166]"
59673,"[61353, 25326226]"
59677,[61357]
59679,[61359]
59682,[61362]
59692,[61372]
59763,[61443]
59764,"[1127317, 61444]"
59766,[61446]
59768,[61448]
60531,"[62307, 3103025, 28599997, 22035921, 62321]"
60533,"[3103027, 22035862, 18196736, 30982441, 1188248, 62309]"
60534,"[22035909, 62325, 62322, 21807222, 62310]"
60537,"[21463331, 22035898, 3103020, 62311, 62313]"
60538,"[22035890, 62314, 62316, 3103026]"
60646,"[180542, 62435]"
60963,[62765]
61963,[63811]
62149,[64005]
62150,[64006]
62303,[64164]
62448,[64326]
62477,[64359]
62735,[64632]
62806,[64706]
62822,[64723]
62838,[64740]
63023,[64934]
63878,"[65876, 22035425, 1484175, 26156125]"
63971,[65971]
63973,[65973]
63977,"[65977, 10843822, 926440]"
64271,[66286]
64272,"[34862221, 66287]"
64273,"[1841243, 66288]"
64274,"[34862209, 66289]"
64275,"[66290, 1241284]"
64276,"[35078531, 66291]"
64277,"[34828351, 66292, 11843104, 35240377]"
64278,"[33406101, 66293, 1841249, 33388922]"
64279,"[13335688, 66294, 32610933, 1841253]"
64280,"[66295, 13337346, 33233877]"
64379,[66394]
64381,[66396]
64384,[66399]
64700,"[1510028, 66726]"
64701,"[66727, 2869356]"
64702,"[66728, 1463363]"
64703,"[66729, 1725177]"
64704,"[1723108, 66730]"
64738,[66764]
64741,[66767]
64742,[262312]
65233,[67269]
65297,[11506861]
66212,[68311]
66214,[68313]
66215,[68314]
66217,[68316]
66313,[68419]
66314,[68420]
66315,[68421]
66320,[68426]
66703,"[68836, 1442403]"
66713,[68846]
67080,[69226]
67561,[69725]
67571,[69735]
67572,"[8504892, 69736]"
67874,"[356345, 187973]"
68144,[70327]
68309,"[70495, 16006407, 77730, 26560, 1973234, 249610]"
68683,[50474]
68790,"[71021, 3916049]"
68950,[71197]
68994,"[71241, 2308650, 19240562]"
69046,"[1273038, 23498682, 1653148, 71294, 26156135, 235633]"
69048,"[6977866, 6694710, 3161670, 18905548, 1484174, 24525605, 71296, 5935129, 3106024, 621081]"
69353,"[71618, 26025616]"
69817,"[16985, 72117, 72113]"
70159,[72469]
70164,[72474]
70167,[72478]
70183,"[16231344, 72497]"
70664,[73001]
71887,[74301]
71888,[74302]
71889,[74303]
71901,"[74315, 17288965]"
72469,[74927]
72471,[74929]
72491,[74949]
72494,"[74954, 74952]"
72501,[74959]
72507,[74965]
72509,[74967]
72513,[74971]
72517,[74975]
72520,[74978]
72522,[74980]
73024,"[23888187, 1342213, 1908867, 7932023, 75488]"
73082,[75546]
73446,"[650129, 22880104, 75922]"
73974,"[12450640, 6660457, 76459]"
74041,[76530]
74083,[76573]
74085,"[2201896, 3261246, 76575]"
74087,[76577]
74090,"[7714272, 528071, 76579]"
74210,"[76722, 334550]"
74567,"[77132, 179293]"
74600,"[900489, 77172, 23156890, 96430]"
74601,"[146110, 77173]"
74602,"[900534, 15103121, 77174, 900469]"
74720,[77318]
75969,"[28486926, 78677]"
76007,[78717]
76012,[78722]
76018,[78729]
76019,[78730]
76400,[79122]
76631,[79363]
76632,[79364]
76633,[79365]
76634,[79366]
76635,[79367]
76636,"[5402752, 79368]"
76693,"[35152540, 18898773, 1189365, 79426]"
76728,"[22046139, 79465]"
76753,[19352485]
76801,[79538]
76802,[79539]
76811,"[21811167, 23213682, 79548, 10996184, 19157328]"
77018,"[79757, 934244, 892777]"
77057,"[79799, 29075946]"
77093,[79837]
77094,[79839]
77095,"[18188401, 22138677, 18374281, 2510379, 79840]"
77096,[79841]
77097,[79842]
77098,[79843]
77127,"[22926720, 79872]"
77399,[80152]
77489,[80248]
77491,[80250]
77492,[80251]
77493,"[16100977, 16100974, 80252, 17917472]"
77494,"[9039220, 80253]"
77605,"[80365, 3895984]"
77704,"[19345275, 6346265, 187558, 80469, 11333845, 15956905, 3981229, 4208821]"
77739,[80504]
77964,[80748]
78130,[80920]
78133,[80923]
78265,[81063]
78398,[81200]
78541,"[996766, 24924138, 1286495, 7784881, 1802252, 122440, 23273805]"
78563,"[25344815, 1548177, 81332, 900566, 6914384]"
78566,"[9431087, 3148694]"
78746,[81549]
78774,[81577]
78944,"[81764, 9232532]"
79035,[81859]
79363,"[17059766, 82191, 1918249]"
79745,"[4548161, 9642340, 82599]"
79784,"[2152443, 1357863, 82638, 35397870, 6607986]"
79785,[82639]
79789,[82643]
79790,[82644]
79930,"[5196900, 82786]"
80004,"[23163299, 823879, 279213, 9865935, 82861, 8065776, 10785000, 279214, 13142646, 13558306, 823880, 17369404, 29478503]"
80005,[82862]
80024,[1391242]
80415,"[18331734, 987073, 16848037, 6135328, 83284]"
80608,[83492]
80653,[83543]
80982,"[13236836, 2307946]"
81538,[84465]
81695,"[22708872, 10852219, 84639]"
82574,[85570]
82576,[85572]
82577,[85573]
82582,"[85578, 10464862]"
82587,[85583]
82588,"[2865974, 85584]"
82589,[18939340]
82592,[85589]
82593,"[85590, 1789182]"
82599,"[305124, 85596]"
82600,[85597]
82601,"[1411722, 85598, 581882, 53891]"
82652,[85655]
82656,[85659]
82880,"[16255243, 85886, 18857934]"
83003,"[1887106, 86016]"
83137,"[86151, 10443688]"
83300,"[6335167, 86314]"
84174,"[380783, 17401550, 23390241, 87205]"
84201,"[87232, 1113971]"
84385,"[165590, 87420]"
84386,"[87421, 899287, 19607245]"
84387,"[165596, 87422, 900470]"
84388,"[900546, 87423]"
84391,"[87426, 18393584, 15733542, 1595006]"
84502,"[17282290, 87537]"
84711,"[87769, 19291697]"
84844,"[754556, 87917]"
84854,"[6150176, 87927]"
85414,[88511]
85428,[88525]
86521,[89646]
86524,[89649]
86540,[89665]
86576,[89701]
86681,[89813]
87239,[90395]
87619,[90795]
87620,"[90796, 10139870, 13597731]"
87775,[90967]
87776,[1257832]
87781,[90973]
87783,[90975]
87785,[572917]
87890,[91084]
87913,[91107]
87998,[91199]
88099,[91306]
88255,[91466]
88256,[91467]
88257,[91468]
88258,[91469]
88259,[91470]
88479,[91713]
88484,"[36356761, 91718]"
88588,[91822]
88589,"[91832, 91823]"
88590,[91824]
88591,"[6146046, 91825]"
88593,[91827]
88594,[91828]
88600,[29216988]
88795,"[92059, 1253686, 1300214]"
88871,"[32187251, 6585351, 11422191, 6433067, 92143, 6163239, 6433834, 14744535]"
89172,[92466]
89361,[92664]
89380,"[92684, 27386627]"
89705,"[8565121, 93041, 707849]"
89956,[93306]
89958,[93308]
89959,"[93309, 7040848]"
89960,"[93310, 24431455]"
89961,[93311]
89962,[93312]
89965,[93315]
89972,[93322]
89973,[93323]
89974,"[1595007, 825066, 471807, 93324]"
89975,[93325]
89976,[93326]
89982,"[18457840, 93332]"
89985,"[4469788, 20728415, 13628932, 16992, 6015660, 28117664, 93335, 13483791, 1734383]"
90019,"[7725768, 1455765, 13052288, 93370, 15780565, 2317688]"
90020,"[17305183, 93391, 2276038, 2617121, 7995929, 93371, 18096980, 1003047, 7062587, 13052287, 1455763]"
90021,"[7746205, 93372, 1003046, 15780573]"
90023,"[1003050, 7906109, 93374]"
90024,"[9648034, 36150685, 93375, 6520137]"
90025,"[6113909, 93376, 8099614]"
90036,[93390]
90589,[93976]
90679,[94069]
91116,[94512]
91120,[94516]
91122,[94518]
91373,[94778]
91395,[94801]
91432,"[6062214, 94844, 13046687]"
91716,"[95129, 95131]"
91863,[95280]
91955,[95388]
91957,"[95390, 13547343]"
91958,[95391]
91960,"[95393, 1555408]"
